instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,16384,5702,4929,2449,1656,1648,213,4716,105,2344,0,1656,5393,31,0.007275
1,RedBlackBST,16384,5702,4929,2449,1656,1648,213,4716,105,2344,0,1656,5393,16,0.004831
2,BST,16384,5753,4810,2540,1600,1681,220,4590,97,2443,1,1599,5440,31,0.004362
2,RedBlackBST,16384,5753,4810,2540,1600,1681,220,4590,97,2443,1,1599,5440,16,0.004336
3,BST,16384,5764,4866,2374,1685,1695,201,4665,98,2276,0,1685,5448,29,0.004800
3,RedBlackBST,16384,5764,4866,2374,1685,1695,201,4665,98,2276,0,1685,5448,16,0.004214
4,BST,16384,5705,4878,2491,1631,1679,183,4695,93,2398,0,1631,5405,27,0.010346
4,RedBlackBST,16384,5705,4878,2491,1631,1679,183,4695,93,2398,0,1631,5405,16,0.004088
5,BST,16384,5609,4965,2484,1653,1673,216,4749,92,2392,0,1653,5334,29,0.010250
5,RedBlackBST,16384,5609,4965,2484,1653,1673,216,4749,92,2392,0,1653,5334,17,0.009748
6,BST,16384,5737,4948,2411,1635,1653,216,4732,94,2317,1,1634,5430,28,0.009535
6,RedBlackBST,16384,5737,4948,2411,1635,1653,216,4732,94,2317,1,1634,5430,16,0.010112
7,BST,16384,5861,4799,2436,1636,1652,200,4599,78,2358,1,1635,5561,26,0.009938
7,RedBlackBST,16384,5861,4799,2436,1636,1652,200,4599,78,2358,1,1635,5561,15,0.009610
8,BST,16384,5793,4846,2431,1638,1676,217,4629,89,2342,1,1637,5503,29,0.009793
8,RedBlackBST,16384,5793,4846,2431,1638,1676,217,4629,89,2342,1,1637,5503,16,0.007914
9,BST,16384,5736,4904,2494,1662,1588,221,4683,90,2404,0,1662,5454,27,0.004771
9,RedBlackBST,16384,5736,4904,2494,1662,1588,221,4683,90,2404,0,1662,5454,16,0.004294
10,BST,16384,5767,4888,2473,1696,1560,207,4681,98,2375,0,1696,5447,25,0.004339
10,RedBlackBST,16384,5767,4888,2473,1696,1560,207,4681,98,2375,0,1696,5447,16,0.004203
11,BST,16384,5753,4954,2499,1620,1558,211,4743,92,2407,0,1620,5444,25,0.004207
11,RedBlackBST,16384,5753,4954,2499,1620,1558,211,4743,92,2407,0,1620,5444,15,0.004271
12,BST,16384,5696,4880,2503,1640,1665,219,4661,98,2405,1,1639,5404,30,0.004672
12,RedBlackBST,16384,5696,4880,2503,1640,1665,219,4661,98,2405,1,1639,5404,16,0.004331
13,BST,16384,5718,4921,2469,1619,1657,234,4687,82,2387,0,1619,5427,29,0.004615
13,RedBlackBST,16384,5718,4921,2469,1619,1657,234,4687,82,2387,0,1619,5427,16,0.004289
14,BST,16384,5756,4957,2384,1698,1589,207,4750,96,2288,2,1696,5471,27,0.004138
14,RedBlackBST,16384,5756,4957,2384,1698,1589,207,4750,96,2288,2,1696,5471,16,0.004608
15,BST,16384,5611,4975,2503,1620,1675,219,4756,92,2411,0,1620,5313,30,0.004571
15,RedBlackBST,16384,5611,4975,2503,1620,1675,219,4756,92,2411,0,1620,5313,16,0.004275
16,BST,16384,5793,4925,2417,1629,1620,240,4685,95,2322,0,1629,5461,27,0.004188
16,RedBlackBST,16384,5793,4925,2417,1629,1620,240,4685,95,2322,0,1629,5461,16,0.004393
17,BST,16384,5727,4950,2438,1607,1662,202,4748,94,2344,1,1606,5419,28,0.004191
17,RedBlackBST,16384,5727,4950,2438,1607,1662,202,4748,94,2344,1,1606,5419,16,0.003919
18,BST,16384,5795,4973,2470,1581,1565,204,4769,99,2371,0,1581,5456,29,0.004234
18,RedBlackBST,16384,5795,4973,2470,1581,1565,204,4769,99,2371,0,1581,5456,17,0.003753
19,BST,16384,5762,4824,2421,1662,1715,205,4619,99,2322,0,1662,5449,28,0.003904
19,RedBlackBST,16384,5762,4824,2421,1662,1715,205,4619,99,2322,0,1662,5449,16,0.003934
