instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
20,BST,16384,5663,4866,2495,1652,1708,212,4654,86,2409,1,1651,5358,27,0.004223
20,RedBlackBST,16384,5663,4866,2495,1652,1708,212,4654,86,2409,1,1651,5358,16,0.003907
21,BST,16384,5814,4845,2469,1605,1651,203,4642,97,2372,0,1605,5499,31,0.004055
21,RedBlackBST,16384,5814,4845,2469,1605,1651,203,4642,97,2372,0,1605,5499,16,0.003880
22,BST,16384,5686,4996,2451,1634,1617,214,4782,107,2344,1,1633,5369,27,0.003989
22,RedBlackBST,16384,5686,4996,2451,1634,1617,214,4782,107,2344,1,1633,5369,16,0.003675
23,BST,16384,5702,4901,2418,1724,1639,208,4693,91,2327,1,1723,5403,30,0.004063
23,RedBlackBST,16384,5702,4901,2418,1724,1639,208,4693,91,2327,1,1723,5403,17,0.003873
24,BST,16384,5609,5016,2496,1658,1605,190,4826,104,2392,0,1658,5306,25,0.003575
24,RedBlackBST,16384,5609,5016,2496,1658,1605,190,4826,104,2392,0,1658,5306,16,0.002859
25,BST,16384,5751,4891,2469,1605,1668,217,4674,112,2357,0,1605,5436,28,0.004285
25,RedBlackBST,16384,5751,4891,2469,1605,1668,217,4674,112,2357,0,1605,5436,16,0.003956
26,BST,16384,5624,4904,2520,1626,1710,236,4668,79,2441,1,1625,5344,24,0.003824
26,RedBlackBST,16384,5624,4904,2520,1626,1710,236,4668,79,2441,1,1625,5344,16,0.003052
27,BST,16384,5766,4936,2509,1604,1569,219,4717,91,2418,3,1601,5445,25,0.002718
27,RedBlackBST,16384,5766,4936,2509,1604,1569,219,4717,91,2418,3,1601,5445,16,0.002695
28,BST,16384,5757,4932,2452,1594,1649,237,4695,92,2360,0,1594,5446,26,0.002677
28,RedBlackBST,16384,5757,4932,2452,1594,1649,237,4695,92,2360,0,1594,5446,16,0.002741
29,BST,16384,5649,4945,2540,1664,1586,195,4750,99,2441,0,1664,5327,30,0.002695
29,RedBlackBST,16384,5649,4945,2540,1664,1586,195,4750,99,2441,0,1664,5327,15,0.002683
30,BST,16384,5669,4915,2506,1660,1634,198,4717,111,2395,0,1660,5359,26,0.002672
30,RedBlackBST,16384,5669,4915,2506,1660,1634,198,4717,111,2395,0,1660,5359,17,0.002592
