instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,4096,1413,1208,648,418,409,61,1147,21,627,0,418,1335,23,0.004773
1,RedBlackBST,4096,1413,1208,648,418,409,61,1147,21,627,0,418,1335,13,0.005284
2,BST,4096,1430,1250,597,418,401,56,1194,21,576,0,418,1336,21,0.002309
2,RedBlackBST,4096,1430,1250,597,418,401,56,1194,21,576,0,418,1336,13,0.003326
3,BST,4096,1447,1226,613,399,411,61,1165,25,588,0,399,1373,22,0.002441
3,RedBlackBST,4096,1447,1226,613,399,411,61,1165,25,588,0,399,1373,13,0.002481
4,BST,4096,1413,1235,614,432,402,57,1178,20,594,0,432,1342,20,0.002629
4,RedBlackBST,4096,1413,1235,614,432,402,57,1178,20,594,0,432,1342,13,0.002395
5,BST,4096,1444,1242,604,404,402,49,1193,16,588,0,404,1369,21,0.002348
5,RedBlackBST,4096,1444,1242,604,404,402,49,1193,16,588,0,404,1369,13,0.002434
6,BST,4096,1455,1225,628,370,418,49,1176,20,608,0,370,1363,25,0.002295
6,RedBlackBST,4096,1455,1225,628,370,418,49,1176,20,608,0,370,1363,13,0.002273
7,BST,4096,1395,1234,666,391,410,43,1191,25,641,0,391,1320,22,0.002320
7,RedBlackBST,4096,1395,1234,666,391,410,43,1191,25,641,0,391,1320,13,0.002304
8,BST,4096,1470,1220,613,418,375,70,1150,25,588,0,418,1385,21,0.002246
8,RedBlackBST,4096,1470,1220,613,418,375,70,1150,25,588,0,418,1385,14,0.002368
9,BST,4096,1427,1253,628,379,409,53,1200,19,609,0,379,1362,21,0.002069
9,RedBlackBST,4096,1427,1253,628,379,409,53,1200,19,609,0,379,1362,13,0.001459
10,BST,4096,1432,1245,635,421,363,59,1186,20,615,0,421,1372,21,0.001347
10,RedBlackBST,4096,1432,1245,635,421,363,59,1186,20,615,0,421,1372,13,0.001092
11,BST,4096,1487,1200,593,401,415,62,1138,21,572,0,401,1409,20,0.001148
11,RedBlackBST,4096,1487,1200,593,401,415,62,1138,21,572,0,401,1409,14,0.001124
12,BST,4096,1473,1221,637,398,367,58,1163,30,607,0,398,1385,22,0.001064
12,RedBlackBST,4096,1473,1221,637,398,367,58,1163,30,607,0,398,1385,12,0.001093
13,BST,4096,1464,1272,586,370,404,40,1232,24,562,0,370,1383,25,0.001102
13,RedBlackBST,4096,1464,1272,586,370,404,40,1232,24,562,0,370,1383,14,0.001026
14,BST,4096,1411,1268,576,397,444,50,1218,16,560,0,397,1328,20,0.001066
14,RedBlackBST,4096,1411,1268,576,397,444,50,1218,16,560,0,397,1328,13,0.001068
15,BST,4096,1387,1306,620,403,380,44,1262,24,596,0,403,1309,22,0.001040
15,RedBlackBST,4096,1387,1306,620,403,380,44,1262,24,596,0,403,1309,13,0.001089
16,BST,4096,1417,1231,601,406,441,40,1191,20,581,0,406,1339,21,0.001076
16,RedBlackBST,4096,1417,1231,601,406,441,40,1191,20,581,0,406,1339,13,0.001074
17,BST,4096,1400,1216,616,450,414,43,1173,29,587,0,450,1323,24,0.001001
17,RedBlackBST,4096,1400,1216,616,450,414,43,1173,29,587,0,450,1323,13,0.001074
18,BST,4096,1439,1236,611,406,404,65,1171,23,588,0,406,1353,19,0.000993
18,RedBlackBST,4096,1439,1236,611,406,404,65,1171,23,588,0,406,1353,12,0.001160
19,BST,4096,1405,1229,622,393,447,59,1170,21,601,0,393,1333,24,0.000958
19,RedBlackBST,4096,1405,1229,622,393,447,59,1170,21,601,0,393,1333,12,0.001146
20,BST,4096,1398,1224,631,428,415,52,1172,25,606,0,428,1317,19,0.001020
20,RedBlackBST,4096,1398,1224,631,428,415,52,1172,25,606,0,428,1317,13,0.001112
21,BST,4096,1409,1261,618,381,427,54,1207,22,596,0,381,1326,24,0.001021
21,RedBlackBST,4096,1409,1261,618,381,427,54,1207,22,596,0,381,1326,13,0.000936
22,BST,4096,1424,1255,607,402,408,55,1200,17,590,0,402,1342,24,0.001060
22,RedBlackBST,4096,1424,1255,607,402,408,55,1200,17,590,0,402,1342,14,0.000982
23,BST,4096,1429,1241,604,374,448,57,1184,27,577,0,374,1363,21,0.000969
23,RedBlackBST,4096,1429,1241,604,374,448,57,1184,27,577,0,374,1363,14,0.000956
24,BST,4096,1433,1224,635,404,400,56,1168,23,612,0,404,1359,24,0.000963
24,RedBlackBST,4096,1433,1224,635,404,400,56,1168,23,612,0,404,1359,14,0.000976
25,BST,4096,1434,1230,598,441,393,60,1170,21,577,0,441,1348,21,0.000959
25,RedBlackBST,4096,1434,1230,598,441,393,60,1170,21,577,0,441,1348,13,0.000976
26,BST,4096,1453,1268,597,384,394,64,1204,27,570,0,384,1390,21,0.001024
26,RedBlackBST,4096,1453,1268,597,384,394,64,1204,27,570,0,384,1390,14,0.000978
27,BST,4096,1423,1253,627,375,418,51,1202,26,601,0,375,1359,22,0.001312
27,RedBlackBST,4096,1423,1253,627,375,418,51,1202,26,601,0,375,1359,13,0.001002
28,BST,4096,1394,1221,639,413,429,50,1171,23,616,0,413,1330,20,0.000982
28,RedBlackBST,4096,1394,1221,639,413,429,50,1171,23,616,0,413,1330,12,0.000972
29,BST,4096,1430,1212,634,404,416,48,1164,27,607,1,403,1344,21,0.000994
29,RedBlackBST,4096,1430,1212,634,404,416,48,1164,27,607,1,403,1344,15,0.000970
30,BST,4096,1464,1224,577,420,411,52,1172,27,550,0,420,1391,24,0.000963
30,RedBlackBST,4096,1464,1224,577,420,411,52,1172,27,550,0,420,1391,13,0.001000
