instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,65536,22978,19799,9685,6583,6491,828,18971,365,9320,2,6581,21728,31,0.015432
1,RedBlackBST,65536,22978,19799,9685,6583,6491,828,18971,365,9320,2,6581,21728,20,0.014363
2,BST,65536,22926,19794,9813,6495,6508,807,18987,381,9432,3,6492,21681,33,0.020562
2,RedBlackBST,65536,22926,19794,9813,6495,6508,807,18987,381,9432,3,6492,21681,19,0.015101
3,BST,65536,22904,19811,9767,6560,6494,850,18961,343,9424,2,6558,21679,34,0.015023
3,RedBlackBST,65536,22904,19811,9767,6560,6494,850,18961,343,9424,2,6558,21679,20,0.015596
4,BST,65536,22757,19674,9961,6657,6487,829,18845,381,9580,0,6657,21499,31,0.020071
4,RedBlackBST,65536,22757,19674,9961,6657,6487,829,18845,381,9580,0,6657,21499,19,0.014630
5,BST,65536,22956,19518,9822,6606,6634,888,18630,381,9441,1,6605,21685,34,0.017330
5,RedBlackBST,65536,22956,19518,9822,6606,6634,888,18630,381,9441,1,6605,21685,19,0.016878
6,BST,65536,22957,19704,9839,6488,6548,780,18924,380,9459,2,6486,21757,31,0.025486
6,RedBlackBST,65536,22957,19704,9839,6488,6548,780,18924,380,9459,2,6486,21757,19,0.021740
7,BST,65536,22970,19577,9863,6631,6495,846,18731,402,9461,1,6630,21730,32,0.026743
7,RedBlackBST,65536,22970,19577,9863,6631,6495,846,18731,402,9461,1,6630,21730,19,0.023000
8,BST,65536,22771,19613,9827,6550,6775,866,18747,385,9442,2,6548,21545,37,0.027445
8,RedBlackBST,65536,22771,19613,9827,6550,6775,866,18747,385,9442,2,6548,21545,19,0.023751
9,BST,65536,23112,19542,9785,6540,6557,849,18693,343,9442,1,6539,21821,34,0.026184
9,RedBlackBST,65536,23112,19542,9785,6540,6557,849,18693,343,9442,1,6539,21821,19,0.017430
