instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
10,BST,65536,22774,19832,9804,6656,6470,772,19060,358,9446,1,6655,21570,30,0.019428
10,RedBlackBST,65536,22774,19832,9804,6656,6470,772,19060,358,9446,1,6655,21570,19,0.022118
11,BST,65536,22825,19535,9854,6731,6591,855,18680,381,9473,1,6730,21617,30,0.017953
11,RedBlackBST,65536,22825,19535,9854,6731,6591,855,18680,381,9473,1,6730,21617,19,0.018340
12,BST,65536,22872,19506,9913,6634,6611,820,18686,352,9561,1,6633,21649,35,0.019604
12,RedBlackBST,65536,22872,19506,9913,6634,6611,820,18686,352,9561,1,6633,21649,19,0.016639
13,BST,65536,22907,19713,9816,6571,6529,795,18918,374,9442,4,6567,21666,33,0.015344
13,RedBlackBST,65536,22907,19713,9816,6571,6529,795,18918,374,9442,4,6567,21666,19,0.015284
14,BST,65536,23086,19695,9791,6398,6566,805,18890,398,9393,1,6397,21830,33,0.018977
14,RedBlackBST,65536,23086,19695,9791,6398,6566,805,18890,398,9393,1,6397,21830,19,0.021710
15,BST,65536,22900,19659,9821,6455,6701,832,18827,373,9448,3,6452,21644,33,0.015778
15,RedBlackBST,65536,22900,19659,9821,6455,6701,832,18827,373,9448,3,6452,21644,20,0.014804
16,BST,65536,22925,19801,9841,6421,6548,848,18953,371,9470,1,6420,21673,34,0.019114
16,RedBlackBST,65536,22925,19801,9841,6421,6548,848,18953,371,9470,1,6420,21673,19,0.019310
17,BST,65536,22932,19669,9798,6519,6618,796,18873,364,9434,0,6519,21707,33,0.016924
17,RedBlackBST,65536,22932,19669,9798,6519,6618,796,18873,364,9434,0,6519,21707,20,0.016080
18,BST,65536,23079,19531,9876,6499,6551,835,18696,337,9539,2,6497,21864,32,0.018722
18,RedBlackBST,65536,23079,19531,9876,6499,6551,835,18696,337,9539,2,6497,21864,19,0.018384
19,BST,65536,23033,19536,9800,6507,6660,835,18701,363,9437,0,6507,21785,32,0.016986
19,RedBlackBST,65536,23033,19536,9800,6507,6660,835,18701,363,9437,0,6507,21785,19,0.014886
20,BST,65536,23036,19558,9871,6560,6511,794,18764,379,9492,1,6559,21750,30,0.015015
20,RedBlackBST,65536,23036,19558,9871,6560,6511,794,18764,379,9492,1,6559,21750,20,0.020523
21,BST,65536,22840,19694,9895,6521,6586,836,18858,368,9527,3,6518,21614,33,0.015312
21,RedBlackBST,65536,22840,19694,9895,6521,6586,836,18858,368,9527,3,6518,21614,18,0.017426
22,BST,65536,22994,19718,9761,6503,6560,829,18889,365,9396,2,6501,21691,31,0.022190
22,RedBlackBST,65536,22994,19718,9761,6503,6560,829,18889,365,9396,2,6501,21691,18,0.022628
23,BST,65536,23028,19579,9750,6551,6628,825,18754,383,9367,2,6549,21727,33,0.025168
23,RedBlackBST,65536,23028,19579,9750,6551,6628,825,18754,383,9367,2,6549,21727,20,0.023216
24,BST,65536,22902,19654,9881,6609,6490,853,18801,364,9517,2,6607,21681,32,0.026530
24,RedBlackBST,65536,22902,19654,9881,6609,6490,853,18801,364,9517,2,6607,21681,20,0.022126
25,BST,65536,22880,19657,9933,6649,6417,800,18857,344,9589,2,6647,21639,33,0.027918
25,RedBlackBST,65536,22880,19657,9933,6649,6417,800,18857,344,9589,2,6647,21639,19,0.026120
26,BST,65536,22747,19782,9845,6649,6513,792,18990,349,9496,3,6646,21496,34,0.028176
26,RedBlackBST,65536,22747,19782,9845,6649,6513,792,18990,349,9496,3,6646,21496,19,0.027274
27,BST,65536,22738,19672,10049,6547,6530,810,18862,357,9692,3,6544,21475,35,0.016224
27,RedBlackBST,65536,22738,19672,10049,6547,6530,810,18862,357,9692,3,6544,21475,19,0.016896
28,BST,65536,22941,19460,9862,6703,6570,867,18593,368,9494,2,6701,21653,35,0.019812
28,RedBlackBST,65536,22941,19460,9862,6703,6570,867,18593,368,9494,2,6701,21653,19,0.016843
29,BST,65536,22934,19684,9864,6533,6521,835,18849,407,9457,4,6529,21690,32,0.017698
29,RedBlackBST,65536,22934,19684,9864,6533,6521,835,18849,407,9457,4,6529,21690,20,0.019015
30,BST,65536,22913,19692,9829,6574,6528,790,18902,371,9458,1,6573,21647,35,0.015505
30,RedBlackBST,65536,22913,19692,9829,6574,6528,790,18902,371,9458,1,6573,21647,19,0.017345
