instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,524288,183569,157154,78614,52619,52332,6550,150604,3007,75607,16,52603,173715,39,0.298620
1,RedBlackBST,524288,183569,157154,78614,52619,52332,6550,150604,3007,75607,16,52603,173715,24,0.311176
2,BST,524288,184246,156926,78384,51990,52742,6595,150331,2981,75403,16,51974,174197,43,0.326000
2,RedBlackBST,524288,184246,156926,78384,51990,52742,6595,150331,2981,75403,16,51974,174197,23,0.218227
3,BST,524288,183649,157034,78917,52464,52224,6684,150350,2877,76040,16,52448,173806,40,0.247463
3,RedBlackBST,524288,183649,157034,78917,52464,52224,6684,150350,2877,76040,16,52448,173806,23,0.230551
4,BST,524288,183248,157239,78674,52707,52420,6498,150741,2890,75784,13,52694,173354,43,0.292635
4,RedBlackBST,524288,183248,157239,78674,52707,52420,6498,150741,2890,75784,13,52694,173354,23,0.249610
5,BST,524288,183052,157684,78508,52376,52668,6499,151185,2987,75521,15,52361,173126,42,0.333993
5,RedBlackBST,524288,183052,157684,78508,52376,52668,6499,151185,2987,75521,15,52361,173126,24,0.287494
6,BST,524288,183607,157193,78490,52277,52721,6716,150477,3028,75462,15,52262,173682,41,0.287169
6,RedBlackBST,524288,183607,157193,78490,52277,52721,6716,150477,3028,75462,15,52262,173682,23,0.312644
7,BST,524288,183451,157283,78725,52597,52232,6714,150569,3009,75716,14,52583,173605,42,0.254230
7,RedBlackBST,524288,183451,157283,78725,52597,52232,6714,150569,3009,75716,14,52583,173605,24,0.225280
8,BST,524288,183211,157561,78631,52751,52134,6620,150941,3038,75593,10,52741,173365,42,0.302559
8,RedBlackBST,524288,183211,157561,78631,52751,52134,6620,150941,3038,75593,10,52741,173365,23,0.208604
9,BST,524288,183589,157329,78646,52405,52319,6698,150631,2947,75699,16,52389,173720,42,0.255967
9,RedBlackBST,524288,183589,157329,78646,52405,52319,6698,150631,2947,75699,16,52389,173720,23,0.255659
10,BST,524288,183678,157314,78547,52399,52350,6631,150683,2998,75549,13,52386,173622,42,0.339905
10,RedBlackBST,524288,183678,157314,78547,52399,52350,6631,150683,2998,75549,13,52386,173622,24,0.257730
11,BST,524288,183034,157650,78799,52553,52252,6566,151084,2987,75812,18,52535,173143,43,0.219724
11,RedBlackBST,524288,183034,157650,78799,52553,52252,6566,151084,2987,75812,18,52535,173143,23,0.283627
12,BST,524288,183607,157823,77977,52228,52653,6658,151165,2858,75119,8,52220,173650,42,0.252739
12,RedBlackBST,524288,183607,157823,77977,52228,52653,6658,151165,2858,75119,8,52220,173650,23,0.217029
13,BST,524288,183073,157250,78523,52524,52918,6676,150574,2972,75551,13,52511,173227,41,0.256217
13,RedBlackBST,524288,183073,157250,78523,52524,52918,6676,150574,2972,75551,13,52511,173227,24,0.223248
14,BST,524288,184057,157202,78570,52305,52154,6613,150589,2973,75597,15,52290,174068,40,0.259221
14,RedBlackBST,524288,184057,157202,78570,52305,52154,6613,150589,2973,75597,15,52290,174068,23,0.239977
15,BST,524288,183291,157255,78842,52495,52405,6512,150743,2900,75942,16,52479,173483,40,0.280542
15,RedBlackBST,524288,183291,157255,78842,52495,52405,6512,150743,2900,75942,16,52479,173483,24,0.198455
16,BST,524288,182828,157668,78759,52497,52536,6694,150974,2938,75821,20,52477,172904,47,0.296401
16,RedBlackBST,524288,182828,157668,78759,52497,52536,6694,150974,2938,75821,20,52477,172904,24,0.215795
17,BST,524288,183426,157544,78737,52285,52296,6679,150865,3038,75699,16,52269,173382,41,0.281938
17,RedBlackBST,524288,183426,157544,78737,52285,52296,6679,150865,3038,75699,16,52269,173382,23,0.243236
18,BST,524288,183222,156994,78972,52582,52518,6623,150371,2978,75994,20,52562,173244,38,0.251212
18,RedBlackBST,524288,183222,156994,78972,52582,52518,6623,150371,2978,75994,20,52562,173244,24,0.198647
19,BST,524288,183481,157230,78562,52316,52699,6397,150833,2900,75662,13,52303,173514,43,0.201333
19,RedBlackBST,524288,183481,157230,78562,52316,52699,6397,150833,2900,75662,13,52303,173514,23,0.238063
20,BST,524288,183526,157633,78355,52412,52362,6648,150985,2987,75368,17,52395,173571,40,0.267047
20,RedBlackBST,524288,183526,157633,78355,52412,52362,6648,150985,2987,75368,17,52395,173571,24,0.232599
21,BST,524288,183349,157231,78665,52724,52319,6578,150653,2907,75758,8,52716,173276,40,0.243284
21,RedBlackBST,524288,183349,157231,78665,52724,52319,6578,150653,2907,75758,8,52716,173276,24,0.238665
22,BST,524288,183860,156891,78645,52309,52583,6588,150303,2946,75699,14,52295,173928,40,0.222146
22,RedBlackBST,524288,183860,156891,78645,52309,52583,6588,150303,2946,75699,14,52295,173928,23,0.223864
23,BST,524288,183013,157184,79056,52662,52373,6557,150627,2978,76078,18,52644,173128,40,0.263026
23,RedBlackBST,524288,183013,157184,79056,52662,52373,6557,150627,2978,76078,18,52644,173128,24,0.234183
24,BST,524288,183474,156730,79110,52437,52537,6591,150139,3048,76062,16,52421,173428,40,0.298118
24,RedBlackBST,524288,183474,156730,79110,52437,52537,6591,150139,3048,76062,16,52421,173428,24,0.198181
25,BST,524288,183041,157819,78792,52127,52509,6750,151069,3038,75754,22,52105,173227,40,0.238688
25,RedBlackBST,524288,183041,157819,78792,52127,52509,6750,151069,3038,75754,22,52105,173227,24,0.225173
26,BST,524288,183613,157411,78879,52376,52009,6637,150774,2986,75893,12,52364,173759,38,0.256837
26,RedBlackBST,524288,183613,157411,78879,52376,52009,6637,150774,2986,75893,12,52364,173759,24,0.228754
27,BST,524288,183696,156759,78756,52617,52460,6579,150180,2879,75877,17,52600,173726,41,0.245603
27,RedBlackBST,524288,183696,156759,78756,52617,52460,6579,150180,2879,75877,17,52600,173726,23,0.214894
28,BST,524288,183260,157634,78657,52455,52282,6649,150985,3088,75569,20,52435,173294,40,0.329167
28,RedBlackBST,524288,183260,157634,78657,52455,52282,6649,150985,3088,75569,20,52435,173294,23,0.294265
29,BST,524288,184017,157037,78625,52261,52348,6507,150530,2981,75644,14,52247,173918,41,0.257096
29,RedBlackBST,524288,184017,157037,78625,52261,52348,6507,150530,2981,75644,14,52247,173918,23,0.232639
30,BST,524288,183496,157068,78561,52545,52618,6605,150463,3010,75551,16,52529,173402,43,0.279172
30,RedBlackBST,524288,183496,157068,78561,52545,52618,6605,150463,3010,75551,16,52529,173402,23,0.254136
