instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,131072,45766,39294,19731,13170,13111,1619,37675,730,19001,4,13166,43224,36,0.054601
1,RedBlackBST,131072,45766,39294,19731,13170,13111,1619,37675,730,19001,4,13166,43224,20,0.048437
2,BST,131072,45544,39524,19818,13081,13105,1661,37863,769,19049,2,13079,43121,39,0.049030
2,RedBlackBST,131072,45544,39524,19818,13081,13105,1661,37863,769,19049,2,13079,43121,21,0.038465
3,BST,131072,45801,39342,19569,13063,13297,1677,37665,735,18834,2,13061,43299,32,0.045365
3,RedBlackBST,131072,45801,39342,19569,13063,13297,1677,37665,735,18834,2,13061,43299,20,0.040405
4,BST,131072,45798,39414,19601,13195,13064,1659,37755,727,18874,4,13191,43342,34,0.039429
4,RedBlackBST,131072,45798,39414,19601,13195,13064,1659,37755,727,18874,4,13191,43342,21,0.036560
5,BST,131072,45728,39490,19631,12975,13248,1623,37867,745,18886,4,12971,43236,36,0.037479
5,RedBlackBST,131072,45728,39490,19631,12975,13248,1623,37867,745,18886,4,12971,43236,21,0.036462
6,BST,131072,45919,39443,19500,13034,13176,1606,37837,823,18677,1,13033,43503,36,0.039254
6,RedBlackBST,131072,45919,39443,19500,13034,13176,1606,37837,823,18677,1,13033,43503,21,0.038638
7,BST,131072,45721,39467,19608,13021,13255,1628,37839,757,18851,5,13016,43284,40,0.038011
7,RedBlackBST,131072,45721,39467,19608,13021,13255,1628,37839,757,18851,5,13016,43284,21,0.040572
8,BST,131072,45817,38953,19733,13284,13285,1706,37247,773,18960,5,13279,43354,36,0.063822
8,RedBlackBST,131072,45817,38953,19733,13284,13285,1706,37247,773,18960,5,13279,43354,20,0.060700
9,BST,131072,45835,39392,19685,13118,13042,1700,37692,812,18873,3,13115,43387,36,0.050112
9,RedBlackBST,131072,45835,39392,19685,13118,13042,1700,37692,812,18873,3,13115,43387,20,0.046123
10,BST,131072,46022,39114,19478,13206,13252,1579,37535,708,18770,4,13202,43510,36,0.051204
10,RedBlackBST,131072,46022,39114,19478,13206,13252,1579,37535,708,18770,4,13202,43510,20,0.043915
11,BST,131072,45834,39215,19861,13216,12946,1563,37652,728,19133,2,13214,43339,37,0.043538
11,RedBlackBST,131072,45834,39215,19861,13216,12946,1563,37652,728,19133,2,13214,43339,20,0.043392
12,BST,131072,46132,38975,19834,13134,12997,1676,37299,801,19033,7,13127,43670,33,0.043484
12,RedBlackBST,131072,46132,38975,19834,13134,12997,1676,37299,801,19033,7,13127,43670,20,0.043431
13,BST,131072,45863,39493,19573,13081,13062,1694,37799,720,18853,3,13078,43348,39,0.040409
13,RedBlackBST,131072,45863,39493,19573,13081,13062,1694,37799,720,18853,3,13078,43348,21,0.045794
14,BST,131072,45707,39275,19521,13421,13148,1644,37631,777,18744,5,13416,43287,35,0.045407
14,RedBlackBST,131072,45707,39275,19521,13421,13148,1644,37631,777,18744,5,13416,43287,21,0.037983
15,BST,131072,46139,39263,19654,12915,13101,1612,37651,775,18879,3,12912,43562,35,0.049878
15,RedBlackBST,131072,46139,39263,19654,12915,13101,1612,37651,775,18879,3,12912,43562,20,0.038418
16,BST,131072,45901,39445,19536,13103,13087,1577,37868,780,18756,2,13101,43374,37,0.053405
16,RedBlackBST,131072,45901,39445,19536,13103,13087,1577,37868,780,18756,2,13101,43374,20,0.039538
17,BST,131072,46103,39309,19802,12947,12911,1629,37680,787,19015,6,12941,43573,38,0.039713
17,RedBlackBST,131072,46103,39309,19802,12947,12911,1629,37680,787,19015,6,12941,43573,20,0.037144
18,BST,131072,45945,39551,19460,13086,13030,1742,37809,718,18742,2,13084,43450,35,0.042319
18,RedBlackBST,131072,45945,39551,19460,13086,13030,1742,37809,718,18742,2,13084,43450,21,0.039478
