instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
19,BST,131072,45920,39508,19667,13057,12920,1668,37840,758,18909,3,13054,43366,34,0.039638
19,RedBlackBST,131072,45920,39508,19667,13057,12920,1668,37840,758,18909,3,13054,43366,20,0.038484
20,BST,131072,45898,39404,19682,13041,13047,1719,37685,726,18956,5,13036,43373,38,0.037836
20,RedBlackBST,131072,45898,39404,19682,13041,13047,1719,37685,726,18956,5,13036,43373,20,0.036398
21,BST,131072,45811,39299,19765,12969,13228,1664,37635,743,19022,1,12968,43320,37,0.037659
21,RedBlackBST,131072,45811,39299,19765,12969,13228,1664,37635,743,19022,1,12968,43320,21,0.040413
22,BST,131072,45943,39208,19846,13059,13016,1652,37556,768,19078,3,13056,43444,39,0.042778
22,RedBlackBST,131072,45943,39208,19846,13059,13016,1652,37556,768,19078,3,13056,43444,20,0.047081
23,BST,131072,46052,39238,19593,13095,13094,1691,37547,787,18806,7,13088,43564,37,0.053112
23,RedBlackBST,131072,46052,39238,19593,13095,13094,1691,37547,787,18806,7,13088,43564,21,0.046607
24,BST,131072,45987,39139,19754,13033,13159,1667,37472,767,18987,5,13028,43465,39,0.037528
24,RedBlackBST,131072,45987,39139,19754,13033,13159,1667,37472,767,18987,5,13028,43465,21,0.038871
25,BST,131072,45541,39658,19792,13020,13061,1634,38024,738,19054,3,13017,43035,33,0.036408
25,RedBlackBST,131072,45541,39658,19792,13020,13061,1634,38024,738,19054,3,13017,43035,21,0.037869
26,BST,131072,45925,39192,19684,13201,13070,1666,37526,754,18930,3,13198,43372,38,0.053259
26,RedBlackBST,131072,45925,39192,19684,13201,13070,1666,37526,754,18930,3,13198,43372,21,0.054426
27,BST,131072,45960,39340,19597,13098,13077,1608,37732,792,18805,4,13094,43469,35,0.058322
27,RedBlackBST,131072,45960,39340,19597,13098,13077,1608,37732,792,18805,4,13094,43469,21,0.042416
28,BST,131072,45742,39225,19707,13413,12985,1609,37616,756,18951,6,13407,43284,37,0.050075
28,RedBlackBST,131072,45742,39225,19707,13413,12985,1609,37616,756,18951,6,13407,43284,20,0.051126
29,BST,131072,46116,39498,19521,12984,12953,1667,37831,728,18793,0,12984,43602,33,0.044856
29,RedBlackBST,131072,46116,39498,19521,12984,12953,1667,37831,728,18793,0,12984,43602,21,0.038101
30,BST,131072,45807,39238,19594,13252,13181,1649,37589,729,18865,0,13252,43331,37,0.045773
30,RedBlackBST,131072,45807,39238,19594,13252,13181,1649,37589,729,18865,0,13252,43331,21,0.035523
