instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,32768,11525,9770,4998,3237,3238,395,9375,203,4795,0,3237,10878,29,0.009390
1,RedBlackBST,32768,11525,9770,4998,3237,3238,395,9375,203,4795,0,3237,10878,17,0.007756
2,BST,32768,11362,9894,4826,3313,3373,437,9457,202,4624,2,3311,10737,28,0.006234
2,RedBlackBST,32768,11362,9894,4826,3313,3373,437,9457,202,4624,2,3311,10737,17,0.007515
3,BST,32768,11469,9849,4893,3258,3299,415,9434,201,4692,1,3257,10843,30,0.009934
3,RedBlackBST,32768,11469,9849,4893,3258,3299,415,9434,201,4692,1,3257,10843,17,0.006113
4,BST,32768,11353,9888,4923,3282,3322,431,9457,180,4743,2,3280,10747,32,0.007198
4,RedBlackBST,32768,11353,9888,4923,3282,3322,431,9457,180,4743,2,3280,10747,17,0.006919
5,BST,32768,11314,10062,4795,3252,3345,419,9643,179,4616,2,3250,10665,31,0.007362
5,RedBlackBST,32768,11314,10062,4795,3252,3345,419,9643,179,4616,2,3250,10665,18,0.006877
6,BST,32768,11432,9838,4964,3274,3260,431,9407,171,4793,0,3274,10800,27,0.006568
6,RedBlackBST,32768,11432,9838,4964,3274,3260,431,9407,171,4793,0,3274,10800,17,0.006386
7,BST,32768,11571,9864,4820,3190,3323,406,9458,199,4621,2,3188,10942,29,0.009553
7,RedBlackBST,32768,11571,9864,4820,3190,3323,406,9458,199,4621,2,3188,10942,18,0.009251
8,BST,32768,11335,9789,4957,3343,3344,405,9384,183,4774,2,3341,10751,28,0.006718
8,RedBlackBST,32768,11335,9789,4957,3343,3344,405,9384,183,4774,2,3341,10751,18,0.006119
9,BST,32768,11461,9809,4864,3319,3315,393,9416,175,4689,1,3318,10852,27,0.008262
9,RedBlackBST,32768,11461,9809,4864,3319,3315,393,9416,175,4689,1,3318,10852,17,0.007399
10,BST,32768,11515,9871,4892,3249,3241,416,9455,189,4703,3,3246,10898,30,0.006558
10,RedBlackBST,32768,11515,9871,4892,3249,3241,416,9455,189,4703,3,3246,10898,18,0.007569
11,BST,32768,11413,9858,4864,3283,3350,405,9453,179,4685,0,3283,10805,32,0.006713
11,RedBlackBST,32768,11413,9858,4864,3283,3350,405,9453,179,4685,0,3283,10805,17,0.007670
12,BST,32768,11459,9781,4951,3341,3236,411,9370,180,4771,4,3337,10837,31,0.008882
12,RedBlackBST,32768,11459,9781,4951,3341,3236,411,9370,180,4771,4,3337,10837,19,0.009394
