instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
1,BST,8192,2844,2458,1250,819,821,104,2354,53,1197,0,819,2691,22,0.002119
1,RedBlackBST,8192,2844,2458,1250,819,821,104,2354,53,1197,0,819,2691,14,0.002151
2,BST,8192,2826,2487,1232,830,817,116,2371,56,1176,0,830,2680,23,0.002253
2,RedBlackBST,8192,2826,2487,1232,830,817,116,2371,56,1176,0,830,2680,15,0.002446
3,BST,8192,2818,2465,1246,824,839,108,2357,52,1194,0,824,2647,25,0.002081
3,RedBlackBST,8192,2818,2465,1246,824,839,108,2357,52,1194,0,824,2647,15,0.002019
4,BST,8192,2885,2435,1248,812,812,110,2325,40,1208,0,812,2730,24,0.001865
4,RedBlackBST,8192,2885,2435,1248,812,812,110,2325,40,1208,0,812,2730,15,0.001994
5,BST,8192,2860,2426,1275,825,806,93,2333,49,1226,0,825,2701,25,0.002107
5,RedBlackBST,8192,2860,2426,1275,825,806,93,2333,49,1226,0,825,2701,14,0.002106
6,BST,8192,2840,2569,1203,736,844,105,2464,44,1159,0,736,2685,25,0.002003
6,RedBlackBST,8192,2840,2569,1203,736,844,105,2464,44,1159,0,736,2685,15,0.002357
7,BST,8192,2794,2447,1243,829,879,98,2349,61,1182,1,828,2630,22,0.002112
7,RedBlackBST,8192,2794,2447,1243,829,879,98,2349,61,1182,1,828,2630,15,0.002191
8,BST,8192,2906,2483,1223,759,821,111,2372,42,1181,0,759,2739,24,0.002222
8,RedBlackBST,8192,2906,2483,1223,759,821,111,2372,42,1181,0,759,2739,15,0.002184
9,BST,8192,2820,2445,1248,817,862,98,2347,53,1195,1,816,2664,24,0.002070
9,RedBlackBST,8192,2820,2445,1248,817,862,98,2347,53,1195,1,816,2664,14,0.002456
10,BST,8192,2880,2445,1265,787,815,91,2354,60,1205,0,787,2714,27,0.002433
10,RedBlackBST,8192,2880,2445,1265,787,815,91,2354,60,1205,0,787,2714,15,0.002126
11,BST,8192,2895,2462,1279,772,784,99,2363,52,1227,0,772,2744,23,0.001951
11,RedBlackBST,8192,2895,2462,1279,772,784,99,2363,52,1227,0,772,2744,15,0.002067
12,BST,8192,2950,2396,1188,816,842,103,2293,42,1146,0,816,2784,24,0.002167
