instancia,estructura,m,purchase_total,query_total,lend_total,receive_total,dispose_total,query_successful,query_failed,lend_successful,lend_failed,receive_successful,receive_failed,final_size,final_height,elapsed_seconds
12,RedBlackBST,8192,2950,2396,1188,816,842,103,2293,42,1146,0,816,2784,15,0.002126
13,BST,8192,2886,2414,1272,809,811,133,2281,62,1210,1,808,2728,24,0.002221
13,RedBlackBST,8192,2886,2414,1272,809,811,133,2281,62,1210,1,808,2728,15,0.002291
14,BST,8192,2881,2472,1198,775,866,107,2365,43,1155,0,775,2712,22,0.002144
14,RedBlackBST,8192,2881,2472,1198,775,866,107,2365,43,1155,0,775,2712,14,0.002101
15,BST,8192,2849,2465,1259,830,789,106,2359,50,1209,0,830,2676,23,0.002193
15,RedBlackBST,8192,2849,2465,1259,830,789,106,2359,50,1209,0,830,2676,15,0.002117
16,BST,8192,2930,2436,1195,817,814,123,2313,53,1142,0,817,2784,21,0.002027
16,RedBlackBST,8192,2930,2436,1195,817,814,123,2313,53,1142,0,817,2784,15,0.002117
17,BST,8192,2931,2428,1236,788,809,118,2310,51,1185,1,787,2778,23,0.002035
17,RedBlackBST,8192,2931,2428,1236,788,809,118,2310,51,1185,1,787,2778,15,0.002072
18,BST,8192,2934,2424,1242,782,810,97,2327,51,1191,0,782,2765,26,0.002115
18,RedBlackBST,8192,2934,2424,1242,782,810,97,2327,51,1191,0,782,2765,15,0.002089
19,BST,8192,2912,2468,1183,785,844,106,2362,48,1135,0,785,2754,22,0.002111
19,RedBlackBST,8192,2912,2468,1183,785,844,106,2362,48,1135,0,785,2754,15,0.002134
20,BST,8192,2842,2441,1244,809,856,105,2336,40,1204,0,809,2676,22,0.002247
20,RedBlackBST,8192,2842,2441,1244,809,856,105,2336,40,1204,0,809,2676,14,0.002325
21,BST,8192,2856,2500,1222,827,787,113,2387,62,1160,0,827,2667,26,0.002280
21,RedBlackBST,8192,2856,2500,1222,827,787,113,2387,62,1160,0,827,2667,15,0.002199
22,BST,8192,2861,2500,1188,827,816,99,2401,40,1148,1,826,2712,24,0.002171
22,RedBlackBST,8192,2861,2500,1188,827,816,99,2401,40,1148,1,826,2712,15,0.002093
23,BST,8192,2899,2476,1267,781,769,102,2374,52,1215,0,781,2732,23,0.002085
23,RedBlackBST,8192,2899,2476,1267,781,769,102,2374,52,1215,0,781,2732,14,0.002120
24,BST,8192,2856,2419,1244,844,829,107,2312,44,1200,0,844,2723,23,0.002069
24,RedBlackBST,8192,2856,2419,1244,844,829,107,2312,44,1200,0,844,2723,15,0.002116
25,BST,8192,2821,2509,1230,801,831,103,2406,57,1173,0,801,2673,23,0.002080
25,RedBlackBST,8192,2821,2509,1230,801,831,103,2406,57,1173,0,801,2673,15,0.002114
26,BST,8192,2840,2504,1199,844,805,112,2392,57,1142,1,843,2683,24,0.002107
26,RedBlackBST,8192,2840,2504,1199,844,805,112,2392,57,1142,1,843,2683,14,0.002113
27,BST,8192,2925,2457,1194,821,795,108,2349,45,1149,0,821,2750,24,0.002130
27,RedBlackBST,8192,2925,2457,1194,821,795,108,2349,45,1149,0,821,2750,14,0.002187
28,BST,8192,2847,2475,1249,773,848,116,2359,49,1200,0,773,2699,22,0.002149
28,RedBlackBST,8192,2847,2475,1249,773,848,116,2359,49,1200,0,773,2699,15,0.002114
29,BST,8192,2798,2531,1204,827,832,105,2426,53,1151,0,827,2646,23,0.002015
29,RedBlackBST,8192,2798,2531,1204,827,832,105,2426,53,1151,0,827,2646,15,0.002022
30,BST,8192,2903,2457,1193,835,804,114,2343,41,1152,0,835,2766,24,0.002073
30,RedBlackBST,8192,2903,2457,1193,835,804,114,2343,41,1152,0,835,2766,14,0.002070
